consequence,count
intron_variant,28759073
non_coding_transcript_variant,11297544
downstream_gene_variant,3373658
upstream_gene_variant,3354346
NMD_transcript_variant,1514065
intergenic_variant,871854
non_coding_transcript_exon_variant,349493
3_prime_UTR_variant,233939
synonymous_variant,104700
missense_variant,77467
5_prime_UTR_variant,68370
splice_polypyrimidine_tract_variant,51779
splice_region_variant,37113
splice_donor_region_variant,7119
splice_donor_5th_base_variant,2031
splice_donor_variant,1580
splice_acceptor_variant,1393
inframe_deletion,1366
inframe_insertion,889
frameshift_variant,657
stop_gained,395
start_lost,99
stop_lost,94
stop_retained_variant,89
coding_transcript_variant,39
