field,match,mismatch,accuracy
Consequence,2340,0,100.00
IMPACT,2340,0,100.00
SYMBOL,2340,0,100.00
Gene,2340,0,100.00
Feature,2340,0,100.00
BIOTYPE,2340,0,100.00
EXON,2340,0,100.00
INTRON,2340,0,100.00
HGVSc,2340,0,100.00
HGVSp,2340,0,100.00
cDNA_position,2340,0,100.00
CDS_position,2340,0,100.00
Protein_position,2340,0,100.00
Amino_acids,2340,0,100.00
Codons,2340,0,100.00
DISTANCE,2340,0,100.00
STRAND,2340,0,100.00
FLAGS,2340,0,100.00
CANONICAL,2340,0,100.00
SYMBOL_SOURCE,2340,0,100.00
HGNC_ID,2340,0,100.00
TSL,2340,0,100.00
APPRIS,2340,0,100.00
